feature,score
E9,0.07795918367346938
R,0.059591836734693926
E7,0.05142857142857138
Mai,0.04897959183673467
Bt,0.04571428571428571
mai,0.0440816326530612
E5,0.043673469387755126
Nalh,0.038775510204081653
t,0.03469387755102038
ML,0.031020408163265345
E1,0.02897959183673471
E4,0.02326530612244898
Narh,0.022857142857142854
E2,0.020816326530612272
Nc,0.020408163265306145
Bj,0.015510204081632673
Hka,0.01428571428571429
Fp3,0.012244897959183654
E8,0.010204081632653073
Nr,0.009795918367346945
NHc,0.004489795918367401
