feature,score
No,-0.2
E3,-0.24
mai,-0.24
E10,-0.24
Nr,-0.24
K2,-0.28
R,-0.28
mpc,-0.28
Narh,-0.32
E1,-0.32
t,-0.32
Nalh,-0.32
C0v,-0.32
NHc,-0.32
Mc,-0.32
mi,-0.32
E6,-0.32
Nalc,-0.32
K1,-0.32
Hc,-0.36
Nd,-0.36
Fp3,-0.36
C4v,-0.36
LA,-0.36
Hka,-0.36
Nh,-0.36
E2,-0.36
K3,-0.36
Mai,-0.36
C3v,-0.36
Hw,-0.4
C2n,-0.4
Ew,-0.4
MM,-0.4
Mpc,-0.4
E5,-0.4
Bt,-0.4
Nrb,-0.4
C4n,-0.4
E7,-0.4
E4,-0.4
C0n,-0.4
ML,-0.4
Nar,-0.4
Mi,-0.4
mapc,-0.4
Nha,-0.4
C1v,-0.4
C1n,-0.44
E8,-0.44
C2v,-0.44
Nc,-0.44
C0,-0.48
Mw,-0.48
Nve,-0.48
C3n,-0.48
C1,-0.48
E9,-0.48
Bj,-0.6
I,-0.72
