feature,score
Mai,0.02052826603325415
Narh,0.02
t,0.018918918918918927
mai,0.018727810650887567
E9,0.014063222149553082
R,0.01000000000000002
E1,0.0058387451293835605
Hka,0.005126050420168069
NHc,2.7755575615628915e-18
Bj,-0.0014438624459120954
E5,-0.0020978339701886763
Bt,-0.002961822025316152
ML,-0.003492112115178436
Nr,-0.003999999999999998
E7,-0.010113985413360898
Nc,-0.015
Fp3,-0.015119999999999998
E8,-0.02260980421915314
E2,-0.025329485896001407
E4,-0.032280803398995764
Nalh,-0.039999999999999994
